,cords
4394,"(39.80738932653061, -86.12742032653061, 0.0)"
4395,"(39.80738932653061, -86.12742032653061, 0.0)"
4396,"(39.76322887755102, -86.15909583673469, 0.0)"
4397,"(39.76322887755102, -86.15909583673469, 0.0)"
4398,"(39.76147236734694, -86.1304712244898, 0.0)"
4399,"(39.76147236734694, -86.1304712244898, 0.0)"
4400,"(39.76147236734694, -86.1304712244898, 0.0)"
4401,"(39.76147236734694, -86.1304712244898, 0.0)"
4402,"(39.76147236734694, -86.1304712244898, 0.0)"
4403,"(39.76147236734694, -86.1304712244898, 0.0)"
4404,"(39.7646834, -86.2713664, 0.0)"
4405,"(39.7646834, -86.2713664, 0.0)"
4406,"(39.7646834, -86.2713664, 0.0)"
4407,"(39.761625836734694, -86.16284624489796, 0.0)"
4408,"(39.908207149999996, -86.06655735, 0.0)"
4409,"(39.908207149999996, -86.06655735, 0.0)"
4410,"(39.77591342857143, -86.19957479591837, 0.0)"
4411,"(39.77591342857143, -86.19957479591837, 0.0)"
4412,"(39.77591342857143, -86.19957479591837, 0.0)"
4413,"(39.76980702702703, -86.11183423648649, 0.0)"
4414,"(39.76980702702703, -86.11183423648649, 0.0)"
4415,"(39.76980702702703, -86.11183423648649, 0.0)"
4416,"(39.76980702702703, -86.11183423648649, 0.0)"
4417,"(39.72750665217391, -86.13175, 0.0)"
4418,"(39.78155487755102, -86.19956367346938, 0.0)"
4419,"(39.78155487755102, -86.19956367346938, 0.0)"
4420,"(39.78155487755102, -86.19956367346938, 0.0)"
4421,"(39.78155487755102, -86.19956367346938, 0.0)"
4422,"(39.86978169387755, -86.14431118367347, 0.0)"
4423,"(39.86978169387755, -86.14431118367347, 0.0)"
4424,"(39.86978169387755, -86.14431118367347, 0.0)"
4425,"(39.77381273737374, -86.10913914141415, 0.0)"
4426,"(39.80738932653061, -86.12742032653061, 0.0)"
4427,"(39.80738932653061, -86.12742032653061, 0.0)"
4428,"(39.80738932653061, -86.12742032653061, 0.0)"
4429,"(39.80738932653061, -86.12742032653061, 0.0)"
4430,"(39.80738932653061, -86.12742032653061, 0.0)"
4431,"(39.758122122448974, -86.10120593877551, 0.0)"
4432,"(39.77646455, -86.1234983992563, 0.0)"
4433,"(39.781552408163265, -86.09141546938775, 0.0)"
4434,"(39.6492619021492, -86.18242037969176, 0.0)"
4435,"(39.6492619021492, -86.18242037969176, 0.0)"
4436,"(39.78806648159709, -86.15933911075388, 0.0)"
4437,"(39.81238796004398, -86.26051708266056, 0.0)"
4438,"(39.74686518181818, -86.15614718181818, 0.0)"
4439,"(39.74686518181818, -86.15614718181818, 0.0)"
4440,"(39.74686518181818, -86.15614718181818, 0.0)"
4441,"(39.665921, -86.153111, 0.0)"
4442,"(39.71846455102041, -86.23109393877552, 0.0)"
4443,"(39.71846455102041, -86.23109393877552, 0.0)"
4444,"(39.71846455102041, -86.23109393877552, 0.0)"
4445,"(39.71846455102041, -86.23109393877552, 0.0)"
4446,"(39.71846455102041, -86.23109393877552, 0.0)"
4447,"(39.76413784705883, -86.15712117647058, 0.0)"
4448,"(39.7740543, -86.1623753, 0.0)"
4449,"(39.7740543, -86.1623753, 0.0)"
4450,"(39.7740543, -86.1623753, 0.0)"
4451,"(39.7740543, -86.1623753, 0.0)"
4452,"(39.718261, -86.230021, 0.0)"
4453,"(39.718261, -86.230021, 0.0)"
4454,"(39.801242, -86.065669, 0.0)"
4455,"(39.801242, -86.065669, 0.0)"
4456,"(39.763070150000004, -86.15848612880518, 0.0)"
4457,"(39.763070150000004, -86.15848612880518, 0.0)"
4458,"(39.781514, -86.105992, 0.0)"
4459,"(39.781514, -86.105992, 0.0)"
4460,"(39.758122122448974, -86.10120593877551, 0.0)"
4461,"(39.758122122448974, -86.10120593877551, 0.0)"
4462,"(39.758122122448974, -86.10120593877551, 0.0)"
4463,"(39.758122122448974, -86.10120593877551, 0.0)"
4464,"(39.758122122448974, -86.10120593877551, 0.0)"
4465,"(39.81088746938776, -86.07229124489795, 0.0)"
4466,"(39.7277143, -86.0579811, 0.0)"
4467,"(39.80910878472125, -86.17666450614554, 0.0)"
4468,"(39.80910878472125, -86.17666450614554, 0.0)"
4469,"(39.808387, -86.180558, 0.0)"
4470,"(39.76450110416667, -86.20299872916667, 0.0)"
4471,"(39.76450110416667, -86.20299872916667, 0.0)"
4472,"(39.76450110416667, -86.20299872916667, 0.0)"
4473,"(39.813018953488374, -86.17331053488371, 0.0)"
4474,"(39.813018953488374, -86.17331053488371, 0.0)"
4475,"(39.838299, -86.064976, 0.0)"
4476,"(39.838299, -86.064976, 0.0)"
4477,"(39.77820945, -86.18436603942047, 0.0)"
4478,"(39.77820945, -86.18436603942047, 0.0)"
4479,"(39.799339857142854, -86.18964600000001, 0.0)"
4480,"(39.799339857142854, -86.18964600000001, 0.0)"
4481,"(39.799339857142854, -86.18964600000001, 0.0)"
4482,"(39.799339857142854, -86.18964600000001, 0.0)"
4483,"(39.799339857142854, -86.18964600000001, 0.0)"
4484,"(39.799339857142854, -86.18964600000001, 0.0)"
4485,"(39.799339857142854, -86.18964600000001, 0.0)"
4486,"(39.77820945, -86.18436603942047, 0.0)"
4487,"(39.77820945, -86.18436603942047, 0.0)"
4488,"(39.90694945, -86.04213359010319, 0.0)"
4489,"(39.76505996248561, -86.08187663907343, 0.0)"
4490,"(39.80910878472125, -86.17666450614554, 0.0)"
4491,"(39.80910878472125, -86.17666450614554, 0.0)"
4492,"(39.808387, -86.180558, 0.0)"
4493,"(39.75768103779584, -86.26027932700855, 0.0)"
4494,"(39.75768103779584, -86.26027932700855, 0.0)"
4495,"(39.75768103779584, -86.26027932700855, 0.0)"
4496,"(39.761935, -86.158398, 0.0)"
4497,"(39.761935, -86.158398, 0.0)"
4498,"(39.76400075, -86.15872586076406, 0.0)"
4499,"(39.95530865, -86.16630440162524, 0.0)"
4500,"(39.95530865, -86.16630440162524, 0.0)"
4501,"(39.80738932653061, -86.12742032653061, 0.0)"
4502,"(39.80738932653061, -86.12742032653061, 0.0)"
4503,"(39.80738932653061, -86.12742032653061, 0.0)"
4504,"(39.80738932653061, -86.12742032653061, 0.0)"
4505,"(39.80738932653061, -86.12742032653061, 0.0)"
4506,"(39.80738932653061, -86.12742032653061, 0.0)"
4507,"(39.908207149999996, -86.06655735, 0.0)"
4508,"(39.76624008333333, -86.15742291666668, 0.0)"
4509,"(39.76624008333333, -86.15742291666668, 0.0)"
4510,"(39.763343, -86.15812, 0.0)"
4511,"(39.752493, -86.128119, 0.0)"
4512,"(39.752493, -86.128119, 0.0)"
4513,"(39.752493, -86.128119, 0.0)"
4514,"(39.8381331, -86.24422095855766, 0.0)"
4515,"(39.8381331, -86.24422095855766, 0.0)"
4516,"(39.7619745, -86.1609289, 0.0)"
4517,"(39.7619745, -86.1609289, 0.0)"
4518,"(39.7619745, -86.1609289, 0.0)"
4519,"(39.7619745, -86.1609289, 0.0)"
4520,"(39.788436222222224, -86.0455495050505, 0.0)"
4521,"(39.81155969127517, -86.09931165771812, 0.0)"
4522,"(39.81155969127517, -86.09931165771812, 0.0)"
4523,"(39.81155969127517, -86.09931165771812, 0.0)"
4524,"(39.81155969127517, -86.09931165771812, 0.0)"
4525,"(39.812886918617636, -86.15440920678778, 0.0)"
4526,"(39.812886918617636, -86.15440920678778, 0.0)"
4527,"(39.665921, -86.153111, 0.0)"
4528,"(39.665921, -86.153111, 0.0)"
4529,"(39.816805, -86.045676, 0.0)"
4530,"(39.816805, -86.045676, 0.0)"
4531,"(39.816805, -86.045676, 0.0)"
4532,"(39.816805, -86.045676, 0.0)"
4533,"(39.816805, -86.045676, 0.0)"
4534,"(39.95530865, -86.16630440162524, 0.0)"
4535,"(39.95530865, -86.16630440162524, 0.0)"
4536,"(39.7739089, -86.0084202, 0.0)"
4537,"(39.79780094391018, -86.06086193114925, 0.0)"
4538,"(39.79780094391018, -86.06086193114925, 0.0)"
4539,"(39.839637, -86.065103, 0.0)"
4540,"(39.763343, -86.15812, 0.0)"
4541,"(39.7212368917111, -86.15500340944133, 0.0)"
4542,"(39.7212368917111, -86.15500340944133, 0.0)"
4543,"(39.7212368917111, -86.15500340944133, 0.0)"
4544,"(39.7212368917111, -86.15500340944133, 0.0)"
4545,"(39.805994, -85.985532, 0.0)"
4546,"(39.805994, -85.985532, 0.0)"
4547,"(39.797655734096026, -86.00957871695856, 0.0)"
4548,"(39.797655734096026, -86.00957871695856, 0.0)"
4549,"(39.797655734096026, -86.00957871695856, 0.0)"
4550,"(39.763343, -86.15812, 0.0)"
4551,"(39.763343, -86.15812, 0.0)"
4552,"(39.763343, -86.15812, 0.0)"
4553,"(39.7739089, -86.0084202, 0.0)"
4554,"(39.799339857142854, -86.18964600000001, 0.0)"
4555,"(39.812886918617636, -86.15440920678778, 0.0)"
4556,"(39.80738932653061, -86.12742032653061, 0.0)"
4557,"(39.80738932653061, -86.12742032653061, 0.0)"
4558,"(39.80738932653061, -86.12742032653061, 0.0)"
4559,"(39.799339857142854, -86.18964600000001, 0.0)"
4560,"(39.82983320408164, -86.0821398367347, 0.0)"
4561,"(39.86978169387755, -86.14431118367347, 0.0)"
4562,"(39.76257165, -86.15756400444278, 0.0)"
4563,"(39.75552644444444, -86.2253437654321, 0.0)"
4564,"(39.75552644444444, -86.2253437654321, 0.0)"
4565,"(39.75552644444444, -86.2253437654321, 0.0)"
4566,"(39.740087, -86.121034, 0.0)"
4567,"(39.740087, -86.121034, 0.0)"
4568,"(39.80738932653061, -86.12742032653061, 0.0)"
4569,"(39.80738932653061, -86.12742032653061, 0.0)"
4570,"(39.80738932653061, -86.12742032653061, 0.0)"
4571,"(39.740087, -86.121034, 0.0)"
4572,"(39.740087, -86.121034, 0.0)"
4573,"(39.740087, -86.121034, 0.0)"
4574,"(39.740087, -86.121034, 0.0)"
4575,"(39.740087, -86.121034, 0.0)"
4576,"(39.740087, -86.121034, 0.0)"
4577,"(39.769028, -86.196899, 0.0)"
4578,"(39.769028, -86.196899, 0.0)"
4579,"(39.763343, -86.15812, 0.0)"
4580,"(39.763343, -86.15812, 0.0)"
4581,"(39.763343, -86.15812, 0.0)"
4582,"(39.763343, -86.15812, 0.0)"
4583,"(39.908207149999996, -86.06655735, 0.0)"
4584,"(39.82491288228661, -86.22789509729053, 0.0)"
4585,"(39.769028, -86.196899, 0.0)"
4586,"(39.769028, -86.196899, 0.0)"
4587,"(39.769028, -86.196899, 0.0)"
4588,"(39.769028, -86.196899, 0.0)"
4589,"(39.82491288228661, -86.22789509729053, 0.0)"
4590,"(39.7570852244898, -86.25499853061224, 0.0)"
4591,"(39.771709, -86.116358, 0.0)"
4592,"(39.771709, -86.116358, 0.0)"
4593,"(39.771709, -86.116358, 0.0)"
4594,"(39.7732896, -86.0229565, 0.0)"
4595,"(39.76505996248561, -86.08187663907343, 0.0)"
4596,"(39.7212368917111, -86.15500340944133, 0.0)"
4597,"(39.88405097301691, -86.19710735521514, 0.0)"
4598,"(39.763343, -86.15812, 0.0)"
4599,"(39.79222063006204, -85.96802981466462, 0.0)"
4600,"(39.79222063006204, -85.96802981466462, 0.0)"
4601,"(39.79222063006204, -85.96802981466462, 0.0)"
4602,"(39.79222063006204, -85.96802981466462, 0.0)"
4603,"(39.79222063006204, -85.96802981466462, 0.0)"
4604,"(39.79222063006204, -85.96802981466462, 0.0)"
4605,"(39.79222063006204, -85.96802981466462, 0.0)"
4606,"(39.79222063006204, -85.96802981466462, 0.0)"
4607,"(39.79222063006204, -85.96802981466462, 0.0)"
4608,"(39.79222063006204, -85.96802981466462, 0.0)"
4609,"(39.79222063006204, -85.96802981466462, 0.0)"
4610,"(39.79222063006204, -85.96802981466462, 0.0)"
4611,"(39.720314959183675, -86.2273273877551, 0.0)"
4612,"(39.720314959183675, -86.2273273877551, 0.0)"
4613,"(39.720314959183675, -86.2273273877551, 0.0)"
4614,"(39.82214878797987, -86.21245704038239, 0.0)"
4615,"(39.82214878797987, -86.21245704038239, 0.0)"
4616,"(39.82214878797987, -86.21245704038239, 0.0)"
4617,"(39.88405097301691, -86.19710735521514, 0.0)"
4618,"(39.763343, -86.15812, 0.0)"
4619,"(39.78176706122449, -86.20070253061225, 0.0)"
4620,"(39.913367894276966, -86.08170624639668, 0.0)"
4621,"(39.913367894276966, -86.08170624639668, 0.0)"
4622,"(39.913367894276966, -86.08170624639668, 0.0)"
4623,"(39.913367894276966, -86.08170624639668, 0.0)"
4624,"(39.7662738, -86.1572122, 0.0)"
4625,"(39.7662738, -86.1572122, 0.0)"
4626,"(39.86977934693878, -86.14446159183673, 0.0)"
4627,"(39.86977934693878, -86.14446159183673, 0.0)"
4628,"(39.913367894276966, -86.08170624639668, 0.0)"
4629,"(39.913367894276966, -86.08170624639668, 0.0)"
4630,"(39.913367894276966, -86.08170624639668, 0.0)"
4631,"(39.913367894276966, -86.08170624639668, 0.0)"
4632,"(39.7289888, -86.15361, 0.0)"
4633,"(39.838165244897965, -86.223834, 0.0)"
4634,"(39.825442, -86.075088, 0.0)"
4635,"(39.825442, -86.075088, 0.0)"
4636,"(39.79749628721534, -86.02994548489406, 0.0)"
4637,"(39.79749628721534, -86.02994548489406, 0.0)"
4638,"(39.79749628721534, -86.02994548489406, 0.0)"
4639,"(39.79749628721534, -86.02994548489406, 0.0)"
4640,"(39.79749628721534, -86.02994548489406, 0.0)"
4641,"(39.820345650226294, -85.98909157906463, 0.0)"
4642,"(39.820345650226294, -85.98909157906463, 0.0)"
4643,"(39.74450036734694, -86.19978679591837, 0.0)"
4644,"(39.74450036734694, -86.19978679591837, 0.0)"
4645,"(39.74450036734694, -86.19978679591837, 0.0)"
4646,"(39.74450036734694, -86.19978679591837, 0.0)"
4647,"(39.74450036734694, -86.19978679591837, 0.0)"
4648,"(39.763445, -86.111611, 0.0)"
4649,"(39.763445, -86.111611, 0.0)"
4650,"(39.82037897959184, -86.10279363265306, 0.0)"
4651,"(39.82037897959184, -86.10279363265306, 0.0)"
4652,"(39.82037897959184, -86.10279363265306, 0.0)"
4653,"(39.80738932653061, -86.12742032653061, 0.0)"
4654,"(39.73040271812081, -86.13850002684563, 0.0)"
4655,"(39.834883, -86.130211, 0.0)"
4656,"(39.834883, -86.130211, 0.0)"
4657,"(39.761625836734694, -86.16284624489796, 0.0)"
4658,"(39.7739089, -86.0084202, 0.0)"
4659,"(39.7739089, -86.0084202, 0.0)"
4660,"(39.8821287, -86.2726649, 0.0)"
4661,"(39.8821287, -86.2726649, 0.0)"
4662,"(39.77381273737374, -86.10913914141415, 0.0)"
4663,"(39.77381273737374, -86.10913914141415, 0.0)"
4664,"(39.781552408163265, -86.09141546938775, 0.0)"
4665,"(39.6825967, -86.2851867, 0.0)"
4666,"(39.6825967, -86.2851867, 0.0)"
4667,"(39.6825967, -86.2851867, 0.0)"
4668,"(39.6825967, -86.2851867, 0.0)"
4669,"(39.781535166666664, -86.09444574999999, 0.0)"
4670,"(39.758122122448974, -86.10120593877551, 0.0)"
4671,"(39.758122122448974, -86.10120593877551, 0.0)"
4672,"(39.758122122448974, -86.10120593877551, 0.0)"
4673,"(39.758122122448974, -86.10120593877551, 0.0)"
4674,"(39.758122122448974, -86.10120593877551, 0.0)"
4675,"(39.758122122448974, -86.10120593877551, 0.0)"
4676,"(39.86978169387755, -86.14431118367347, 0.0)"
4677,"(39.86978169387755, -86.14431118367347, 0.0)"
4678,"(39.86978169387755, -86.14431118367347, 0.0)"
4679,"(39.813018953488374, -86.17331053488371, 0.0)"
4680,"(39.70094896802499, -86.27387106805513, 0.0)"
4681,"(39.7277143, -86.0579811, 0.0)"
4682,"(39.7277143, -86.0579811, 0.0)"
4683,"(39.7277143, -86.0579811, 0.0)"
4684,"(39.7277143, -86.0579811, 0.0)"
4685,"(39.82037897959184, -86.10279363265306, 0.0)"
4686,"(39.82037897959184, -86.10279363265306, 0.0)"
4687,"(39.82037897959184, -86.10279363265306, 0.0)"
4688,"(39.86977934693878, -86.14446159183673, 0.0)"
4689,"(39.86977934693878, -86.14446159183673, 0.0)"
4690,"(39.86977934693878, -86.14446159183673, 0.0)"
4691,"(39.74542153061225, -86.28646669387756, 0.0)"
4692,"(39.82037897959184, -86.10279363265306, 0.0)"
4693,"(39.82037897959184, -86.10279363265306, 0.0)"
4694,"(39.82037897959184, -86.10279363265306, 0.0)"
4695,"(39.82037897959184, -86.10279363265306, 0.0)"
4696,"(39.82037897959184, -86.10279363265306, 0.0)"
4697,"(39.82037897959184, -86.10279363265306, 0.0)"
4698,"(39.77563460848867, -86.26450947371374, 0.0)"
4699,"(39.8567784, -86.157495, 0.0)"
4700,"(39.70094896802499, -86.27387106805513, 0.0)"
4701,"(39.70094896802499, -86.27387106805513, 0.0)"
4702,"(39.70094896802499, -86.27387106805513, 0.0)"
4703,"(39.781431, -86.12526, 0.0)"
4704,"(39.781431, -86.12526, 0.0)"
4705,"(39.781431, -86.12526, 0.0)"
4706,"(39.781431, -86.12526, 0.0)"
4707,"(39.781431, -86.12526, 0.0)"
4708,"(39.763070150000004, -86.15848612880518, 0.0)"
4709,"(39.763070150000004, -86.15848612880518, 0.0)"
4710,"(39.781514, -86.105992, 0.0)"
4711,"(39.813018953488374, -86.17331053488371, 0.0)"
4712,"(39.76505996248561, -86.08187663907343, 0.0)"
4713,"(39.801242, -86.065669, 0.0)"
4714,"(39.801242, -86.065669, 0.0)"
4715,"(39.769427, -86.161736, 0.0)"
4716,"(39.769427, -86.161736, 0.0)"
4717,"(39.769427, -86.161736, 0.0)"
4718,"(39.75768103779584, -86.26027932700855, 0.0)"
4719,"(39.75768103779584, -86.26027932700855, 0.0)"
4720,"(39.75768103779584, -86.26027932700855, 0.0)"
4721,"(39.7212368917111, -86.15500340944133, 0.0)"
4722,"(39.7212368917111, -86.15500340944133, 0.0)"
4723,"(39.799339857142854, -86.18964600000001, 0.0)"
4724,"(39.799339857142854, -86.18964600000001, 0.0)"
4725,"(39.799339857142854, -86.18964600000001, 0.0)"
4726,"(39.79780094391018, -86.06086193114925, 0.0)"
4727,"(39.79780094391018, -86.06086193114925, 0.0)"
4728,"(39.839637, -86.065103, 0.0)"
4729,"(39.691468, -86.146725, 0.0)"
4730,"(39.6825967, -86.2851867, 0.0)"
4731,"(39.6825967, -86.2851867, 0.0)"
4732,"(39.810577, -86.0647121, 0.0)"
4733,"(39.805994, -85.985532, 0.0)"
4734,"(39.805994, -85.985532, 0.0)"
4735,"(39.797655734096026, -86.00957871695856, 0.0)"
4736,"(39.797655734096026, -86.00957871695856, 0.0)"
4737,"(39.797655734096026, -86.00957871695856, 0.0)"
4738,"(39.913367894276966, -86.08170624639668, 0.0)"
4739,"(39.913367894276966, -86.08170624639668, 0.0)"
4740,"(39.913367894276966, -86.08170624639668, 0.0)"
4741,"(39.79222063006204, -85.96802981466462, 0.0)"
4742,"(39.79222063006204, -85.96802981466462, 0.0)"
4743,"(39.79222063006204, -85.96802981466462, 0.0)"
4744,"(39.79222063006204, -85.96802981466462, 0.0)"
4745,"(39.78176706122449, -86.20070253061225, 0.0)"
4746,"(39.78176706122449, -86.20070253061225, 0.0)"
4747,"(39.78176706122449, -86.20070253061225, 0.0)"
4748,"(39.72251, -86.146846, 0.0)"
4749,"(39.72251, -86.146846, 0.0)"
4750,"(39.661420888888884, -86.12571555555556, 0.0)"
4751,"(39.661420888888884, -86.12571555555556, 0.0)"
4752,"(39.913367894276966, -86.08170624639668, 0.0)"
4753,"(39.72964, -86.092897, 0.0)"
4754,"(39.72964, -86.092897, 0.0)"
4755,"(39.74542153061225, -86.28646669387756, 0.0)"
4756,"(39.825442, -86.075088, 0.0)"
4757,"(39.74663995486829, -86.14823548700862, 0.0)"
4758,"(39.74663995486829, -86.14823548700862, 0.0)"
4759,"(39.6997832, -86.0848617, 0.0)"
4760,"(39.6997832, -86.0848617, 0.0)"
4761,"(39.786151, -86.0672731, 0.0)"
4762,"(39.786151, -86.0672731, 0.0)"
4763,"(39.786151, -86.0672731, 0.0)"
4764,"(39.786151, -86.0672731, 0.0)"
4765,"(39.786151, -86.0672731, 0.0)"
4766,"(39.786151, -86.0672731, 0.0)"
4767,"(39.758927, -86.03517772727272, 0.0)"
4768,"(39.793733452991454, -86.18614633333334, 0.0)"
4769,"(39.769028, -86.196899, 0.0)"
4770,"(39.769028, -86.196899, 0.0)"
4771,"(39.769028, -86.196899, 0.0)"
4772,"(39.808387, -86.180558, 0.0)"
4773,"(39.82555, -86.078389, 0.0)"
4774,"(39.82555, -86.078389, 0.0)"
4775,"(39.82555, -86.078389, 0.0)"
4776,"(39.70900981632653, -86.12808571428572, 0.0)"
4777,"(39.70900981632653, -86.12808571428572, 0.0)"
4778,"(39.67181, -86.144712, 0.0)"
4779,"(39.8567784, -86.157495, 0.0)"
4780,"(39.8567784, -86.157495, 0.0)"
4781,"(39.74190844412818, -85.99891882106333, 0.0)"
4782,"(39.74190844412818, -85.99891882106333, 0.0)"
4783,"(39.74190844412818, -85.99891882106333, 0.0)"
4784,"(39.74190844412818, -85.99891882106333, 0.0)"
4785,"(39.6929325, -86.1578815, 0.0)"
4786,"(39.793733452991454, -86.18614633333334, 0.0)"
4787,"(39.793733452991454, -86.18614633333334, 0.0)"
4788,"(39.6929325, -86.1578815, 0.0)"
4789,"(39.6929325, -86.1578815, 0.0)"
4790,"(39.6929325, -86.1578815, 0.0)"
4791,"(39.8377285, -86.1218044, 0.0)"
4792,"(39.661420888888884, -86.12571555555556, 0.0)"
4793,"(39.661420888888884, -86.12571555555556, 0.0)"
4794,"(39.661420888888884, -86.12571555555556, 0.0)"
4795,"(39.661420888888884, -86.12571555555556, 0.0)"
4796,"(39.74495522222222, -86.13549538888888, 0.0)"
4797,"(39.74495522222222, -86.13549538888888, 0.0)"
4798,"(39.74495522222222, -86.13549538888888, 0.0)"
4799,"(39.773610899999994, -85.97657578447799, 0.0)"
4800,"(39.773610899999994, -85.97657578447799, 0.0)"
4801,"(39.773610899999994, -85.97657578447799, 0.0)"
4802,"(39.825445, -86.11689, 0.0)"
4803,"(39.67181, -86.144712, 0.0)"
4804,"(39.67181, -86.144712, 0.0)"
4805,"(39.8377285, -86.1218044, 0.0)"
4806,"(39.7888693, -86.0829535, 0.0)"
4807,"(39.7888693, -86.0829535, 0.0)"
4808,"(39.7888693, -86.0829535, 0.0)"
4809,"(39.7516464, -86.1503562, 0.0)"
4810,"(39.7516464, -86.1503562, 0.0)"
4811,"(39.74495522222222, -86.13549538888888, 0.0)"
4812,"(39.7732896, -86.0229565, 0.0)"
4813,"(39.7732896, -86.0229565, 0.0)"
4814,"(39.7732896, -86.0229565, 0.0)"
4815,"(39.763439500000004, -86.15773300316786, 0.0)"
4816,"(39.77381273737374, -86.10913914141415, 0.0)"
4817,"(39.77679166666667, -86.20873866666666, 0.0)"
4818,"(39.810577, -86.0647121, 0.0)"
4819,"(39.810577, -86.0647121, 0.0)"
4820,"(39.908207149999996, -86.06655735, 0.0)"
4821,"(39.774160531250004, -86.10233162499999, 0.0)"
4822,"(39.774160531250004, -86.10233162499999, 0.0)"
4823,"(39.774160531250004, -86.10233162499999, 0.0)"
4824,"(39.774160531250004, -86.10233162499999, 0.0)"
4825,"(39.65549823529412, -86.06374723529413, 0.0)"
4826,"(39.8377285, -86.1218044, 0.0)"
4827,"(39.909494, -86.1061934, 0.0)"
4828,"(39.826235, -85.988509, 0.0)"
4829,"(39.826235, -85.988509, 0.0)"
4830,"(39.763439500000004, -86.15773300316786, 0.0)"
4831,"(39.763439500000004, -86.15773300316786, 0.0)"
4832,"(39.810577, -86.0647121, 0.0)"
4833,"(39.8134881614723, -86.27720514132162, 0.0)"
4834,"(39.8134881614723, -86.27720514132162, 0.0)"
4835,"(39.8134881614723, -86.27720514132162, 0.0)"
4836,"(39.78264340816327, -86.09176818367347, 0.0)"
4837,"(39.78264340816327, -86.09176818367347, 0.0)"
4838,"(39.78264340816327, -86.09176818367347, 0.0)"
4839,"(39.82214878797987, -86.21245704038239, 0.0)"
4840,"(39.82214878797987, -86.21245704038239, 0.0)"
4841,"(39.82214878797987, -86.21245704038239, 0.0)"
4842,"(39.82970212244898, -86.08192610204081, 0.0)"
4843,"(39.82970212244898, -86.08192610204081, 0.0)"
4844,"(39.649986, -86.106212, 0.0)"
4845,"(39.649986, -86.106212, 0.0)"
4846,"(39.77895536734694, -86.15288342857143, 0.0)"
4847,"(39.77895536734694, -86.15288342857143, 0.0)"
4848,"(39.77895536734694, -86.15288342857143, 0.0)"
4849,"(39.77895536734694, -86.15288342857143, 0.0)"
4850,"(39.7732896, -86.0229565, 0.0)"
4851,"(39.7732896, -86.0229565, 0.0)"
4852,"(39.7732896, -86.0229565, 0.0)"
4853,"(39.7732896, -86.0229565, 0.0)"
4854,"(39.7732896, -86.0229565, 0.0)"
4855,"(39.7732896, -86.0229565, 0.0)"
4856,"(39.7732896, -86.0229565, 0.0)"
4857,"(39.7732896, -86.0229565, 0.0)"
4858,"(39.7732896, -86.0229565, 0.0)"
4859,"(39.7732896, -86.0229565, 0.0)"
4860,"(39.720652, -86.225675, 0.0)"
4861,"(39.807842551724136, -86.21230693103449, 0.0)"
4862,"(39.807842551724136, -86.21230693103449, 0.0)"
4863,"(39.763439500000004, -86.15773300316786, 0.0)"
4864,"(39.78170175757575, -86.04300257575757, 0.0)"
4865,"(39.78170175757575, -86.04300257575757, 0.0)"
4866,"(39.78170175757575, -86.04300257575757, 0.0)"
4867,"(39.78170175757575, -86.04300257575757, 0.0)"
4868,"(39.78170175757575, -86.04300257575757, 0.0)"
4869,"(39.78170175757575, -86.04300257575757, 0.0)"
4870,"(39.81651210204082, -86.25766130612246, 0.0)"
4871,"(39.7072954, -86.0329135, 0.0)"
4872,"(39.7072954, -86.0329135, 0.0)"
4873,"(39.7072954, -86.0329135, 0.0)"
4874,"(39.7072954, -86.0329135, 0.0)"
4875,"(39.7072954, -86.0329135, 0.0)"
4876,"(39.7072954, -86.0329135, 0.0)"
4877,"(39.7072954, -86.0329135, 0.0)"
4878,"(39.7072954, -86.0329135, 0.0)"
4879,"(39.7072954, -86.0329135, 0.0)"
4880,"(39.774160531250004, -86.10233162499999, 0.0)"
4881,"(39.774160531250004, -86.10233162499999, 0.0)"
4882,"(39.779658382014674, -85.95299079672994, 0.0)"
4883,"(39.769028, -86.196899, 0.0)"
4884,"(39.72251, -86.146846, 0.0)"
4885,"(39.767282, -86.217354, 0.0)"
4886,"(39.767282, -86.217354, 0.0)"
4887,"(39.767282, -86.217354, 0.0)"
4888,"(39.767282, -86.217354, 0.0)"
4889,"(39.767282, -86.217354, 0.0)"
4890,"(39.767282, -86.217354, 0.0)"
4891,"(39.72251, -86.146846, 0.0)"
4892,"(39.72857634722222, -86.161663625, 0.0)"
4893,"(39.72857634722222, -86.161663625, 0.0)"
4894,"(39.74495522222222, -86.13549538888888, 0.0)"
4895,"(39.74495522222222, -86.13549538888888, 0.0)"
4896,"(39.74495522222222, -86.13549538888888, 0.0)"
4897,"(39.74495522222222, -86.13549538888888, 0.0)"
4898,"(39.7209335625, -86.10950112500001, 0.0)"
4899,"(39.7209335625, -86.10950112500001, 0.0)"
4900,"(39.779658382014674, -85.95299079672994, 0.0)"
4901,"(39.779658382014674, -85.95299079672994, 0.0)"
4902,"(39.779658382014674, -85.95299079672994, 0.0)"
4903,"(39.78143916216216, -86.11293602702703, 0.0)"
4904,"(39.78143916216216, -86.11293602702703, 0.0)"
4905,"(39.78143916216216, -86.11293602702703, 0.0)"
4906,"(39.78143916216216, -86.11293602702703, 0.0)"
4907,"(39.909494, -86.1061934, 0.0)"
4908,"(39.7299151, -86.3248449, 0.0)"
4909,"(39.7299151, -86.3248449, 0.0)"
4910,"(39.7299151, -86.3248449, 0.0)"
4911,"(39.70808896220929, -86.10296946347525, 0.0)"
